,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid
88,120,89,ATG_FXR_TRANS,1,1,"Data from the assay component ATG_FXR_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_FXR_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1H4. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,CDCA,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
89,121,90,ATG_GAL4_TRANS,1,1,"Data from the assay component ATG_GAL4_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_GAL4_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the background control at the transcription factor-level as they relate to the gene . 

Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where the subfamily is baseline control.",background control,log2_fold_induction,0,NA,gain,protein,transcription factor,background measurement,baseline control,0,0,1,3807,2772
90,122,91,ATG_GR_TRANS,1,1,"Data from the assay component ATG_GR_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_GR_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR3C1. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is steroidal.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,nuclear receptor,steroidal,0,0,1,4040,2692
91,123,92,ATG_HNF4a_TRANS,1,1,"Data from the assay component ATG_HNF4a_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_HNF4a_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene HNF4A. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is orphan.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,nuclear receptor,orphan,0,0,1,4040,2692
92,124,93,ATG_Hpa5_TRANS,1,1,"Data from the assay component ATG_Hpa5_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_Hpa5_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the background control at the transcription factor-level as they relate to the gene . 

Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where the subfamily is internal marker.",background control,log2_fold_induction,0,NA,gain,protein,transcription factor,background measurement,internal marker,0,0,1,311,70
93,125,94,ATG_LXRa_TRANS,1,1,"Data from the assay component ATG_LXRa_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_LXRa_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1H3. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,T0901317,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
94,126,95,ATG_LXRb_TRANS,1,1,"Data from the assay component ATG_LXRb_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_LXRb_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1H2. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,T0901317,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
95,127,96,ATG_M_06_TRANS,1,1,"Data from the assay component ATG_M_06_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_M_06_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the background control at the transcription factor-level as they relate to the gene . 

Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where the subfamily is internal marker.",background control,log2_fold_induction,0,NA,gain,protein,transcription factor,background measurement,internal marker,0,0,1,4040,2929
96,128,97,ATG_M_19_TRANS,1,1,"Data from the assay component ATG_M_19_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_M_19_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the background control at the transcription factor-level as they relate to the gene . 

Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where the subfamily is internal marker.",background control,log2_fold_induction,0,NA,gain,protein,transcription factor,background measurement,internal marker,0,0,1,4040,2929
97,129,98,ATG_M_32_TRANS,1,1,"Data from the assay component ATG_M_32_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_M_32_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the background control at the transcription factor-level as they relate to the gene . 

Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where the subfamily is internal marker.",background control,log2_fold_induction,0,NA,gain,protein,transcription factor,background measurement,internal marker,0,0,1,4040,2929
98,130,99,ATG_M_61_TRANS,1,1,"Data from the assay component ATG_M_61_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_M_61_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the background control at the transcription factor-level as they relate to the gene . 

Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where the subfamily is internal marker.",background control,log2_fold_induction,0,NA,gain,protein,transcription factor,background measurement,internal marker,0,0,1,4040,2929
99,131,100,ATG_NURR1_TRANS,1,1,"Data from the assay component ATG_NURR1_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_NURR1_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR4A2. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is orphan.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,nuclear receptor,orphan,0,0,1,4040,2692
100,132,101,ATG_PPARa_TRANS,1,1,"Data from the assay component ATG_PPARa_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_PPARa_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARA. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,GW0742,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
101,133,102,ATG_PPARd_TRANS,1,1,"Data from the assay component ATG_PPARd_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_PPARd_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARD. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,GW7647,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2677
102,134,103,ATG_PPARg_TRANS,1,1,"Data from the assay component ATG_PPARg_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_PPARg_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene PPARG. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,Rosiglitazone,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
103,135,104,ATG_PXR_TRANS,1,1,"Data from the assay component ATG_PXR_TRANS was analyzed into 1 assay endpoint. This assay endpoint, ATG_PXR_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene NR1I2. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,T0901317,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2712
104,136,105,ATG_RARa_TRANS,1,1,"Data from the assay component ATG_RARa_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_RARa_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RARA. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,Retinoic Acid,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
105,137,106,ATG_RARb_TRANS,1,1,"Data from the assay component ATG_RARb_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_RARb_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RARB. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,Retinoic Acid,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
106,138,107,ATG_RARg_TRANS,1,1,"Data from the assay component ATG_RARg_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_RARg_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RARG. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,Retinoic Acid,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
107,139,108,ATG_RORb_TRANS,1,1,"Data from the assay component ATG_RORb_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_RORb_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RORB. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is orphan.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,nuclear receptor,orphan,0,0,1,4040,2692
108,140,109,ATG_RORg_TRANS,1,1,"Data from the assay component ATG_RORg_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_RORg_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RORC. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is orphan.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,nuclear receptor,orphan,0,0,1,4040,2692
109,141,110,ATG_RXRa_TRANS,1,1,"Data from the assay component ATG_RXRa_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_RXRa_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RXRA. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,9-cis-Retinoic acid,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
110,142,111,ATG_RXRb_TRANS,1,1,"Data from the assay component ATG_RXRb_TRANS was analyzed into 1 assay endpoint. This assay endpoint, ATG_RXRb_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene RXRB. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,9-cis-Retinoic acid,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
111,143,112,ATG_THRa1_TRANS,1,1,"Data from the assay component ATG_THRa1_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_THRa1_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene THRA. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,T3,gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
112,144,113,ATG_VDR_TRANS,1,1,"Data from the assay component ATG_VDR_TRANS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_VDR_TRANS, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene VDR. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",reporter gene,log2_fold_induction,0,"1a,25-Dihydroxyvitamin D3",gain,protein,transcription factor,nuclear receptor,non-steroidal,0,0,1,4040,2692
113,146,114,BSK_3C_Eselectin,1,1,"Data from the assay component BSK_3C_Eselectin was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_Eselectin, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene SELE. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell adhesion molecules intended target family, where the subfamily is selectins.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,selectins,0,0,1,1705,0
114,148,115,BSK_3C_HLADR,1,1,"Data from the assay component BSK_3C_HLADR was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_HLADR, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene HLA-DRA. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell adhesion molecules intended target family, where the subfamily is MHC Class II.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,MHC Class II,0,0,1,1705,0
115,150,116,BSK_3C_ICAM1,1,1,"Data from the assay component BSK_3C_ICAM1 was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_ICAM1, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene ICAM1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell adhesion molecules intended target family, where the subfamily is Immunoglobulin CAM.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,Immunoglobulin CAM,0,0,1,1705,0
116,152,117,BSK_3C_IL8,1,1,"Data from the assay component BSK_3C_IL8 was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_IL8, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL8. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is interleukins.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,1705,0
117,154,118,BSK_3C_MCP1,1,1,"Data from the assay component BSK_3C_MCP1 was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_MCP1, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CCL2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is chemotactic factor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,1705,0
118,156,119,BSK_3C_MIG,1,1,"Data from the assay component BSK_3C_MIG was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_MIG, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL9. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is chemotactic factor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,1705,0
119,158,120,BSK_3C_Proliferation,1,1,"Data from the assay component BSK_3C_Proliferation was analyzed into 1 assay endpoint. 
This assay endpoint, BSK_3C_Proliferation, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of total protein for gain or loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is proliferation.",viability,log10_fold_induction,0,colchicine,bidirectional,cellular,cellular,cell cycle,proliferation,0,0,1,1705,0
120,160,121,BSK_3C_SRB,1,1,"Data from the assay component BSK_3C_SRB was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_SRB, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is cell conformation.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-unspecified,cell morphology,cell conformation,0,0,1,1705,0
121,162,122,BSK_3C_Thrombomodulin,1,1,"Data from the assay component BSK_3C_Thrombomodulin was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_Thrombomodulin, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene THBD. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the gpcr intended target family, where the subfamily is rhodopsin-like receptor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,gpcr,rhodopsin-like receptor,0,0,1,1705,0
122,164,123,BSK_3C_TissueFactor,1,1,"Data from the assay component BSK_3C_TissueFactor was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_TissueFactor, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene F3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is coagulation factor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,coagulation factor,0,0,1,1705,0
123,166,124,BSK_3C_uPAR,1,1,"Data from the assay component BSK_3CAR was analyzed into 1 assay endpoint. This assay endpoint, BSK_3CAR, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is plasmogen activator.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,plasmogen activator,0,0,1,1705,0
124,168,125,BSK_3C_VCAM1,1,1,"Data from the assay component BSK_3C_VCAM1 was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_VCAM1, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene VCAM1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell adhesion molecules intended target family, where the subfamily is Immunoglobulin CAM.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,Immunoglobulin CAM,0,0,1,1705,0
125,170,126,BSK_3C_Vis,1,1,"Data from the assay component BSK_3C_Vis was analyzed into 1 assay endpoint. This assay endpoint, BSK_3C_Vis, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, gain or loss-of-signal activity can be used to understand changes in the background control. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is cell conformation.",background control,log10_fold_induction,0,colchicine,bidirectional,cellular,cellular,cell morphology,cell conformation,0,0,1,1484,0
126,172,127,BSK_4H_Eotaxin3,1,1,"Data from the assay component BSK_4H_Eotaxin3 was analyzed into 1 assay endpoint. This assay endpoint, BSK_4H_Eotaxin3, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CCL26. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is chemotactic factor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,1705,0
