,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid,aid,assay_component_name,assay_component_desc,assay_component_target_desc,parameter_readout_type,assay_design_type,assay_design_type_sub,biological_process_target,detection_technology_type,detection_technology_type_sub,detection_technology,key_assay_reagent_type,key_assay_reagent,technological_target_type,technological_target_type_sub,asid,assay_name,assay_desc,timepoint_hr,organism_id,organism,tissue,cell_format,cell_free_component_source,cell_short_name,cell_growth_mode,assay_footprint,assay_format_type,assay_format_type_sub,content_readout_type,dilution_solvent,dilution_solvent_percent_max
650,1114,701,TOX21_p53_BLA_p1_ch1,1,1,"Data from the assay component TOX21_p53_BLA_p1_ch1 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_p53_BLA_p1_ch1, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene TP53. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves as artifact detection function.",substrate,percent_activity,0,Mitomycin C,loss,pathway,pathway-specified,channel 1,baseline control,0,0,1,-1,-1,374,TOX21_p53_BLA_p1_ch1,TOX21_p53_BLA_p1_ch1 is an assay readout measuring reporter gene via transcription factor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the uncleaved reporter gene substrate and is used to calculate the ratio of cleaved (ch2) to uncleaved (ch1) substrate used as the measure of target activity. ,"TOX21_p53_BLA_p1_ch1 was designed to measure uncleaved reporter gene substrate to target transcription factor activity, specifically mapping to TP53 gene(s) using a positive control of Mitomycin C",single,background reporter,artifact detection,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_p53_BLA_p1,"TOX21_p53_BLA_p1 is a cell-based, single-readout assay that uses HCT116, a human intestinal cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,intestinal,cell line,NA,HCT116,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
651,1115,702,TOX21_p53_BLA_p1_ch2,1,1,"Data from the assay component TOX21_p53_BLA_p1_ch2 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_p53_BLA_p1_ch2, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, increased activity can be used to understand changes in the reporter gene as they relate to the gene TP53. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves as artifact detection function.",product,percent_activity,0,Mitomycin C;Nutlin3,gain,pathway,pathway-specified,channel 2,baseline control,0,0,1,-1,-1,374,TOX21_p53_BLA_p1_ch2,TOX21_p53_BLA_p1_ch2 is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the cleaved reporter gene substrate and is used to calculate the ratio of cleaved (ch2) to uncleaved (ch1) substrate used as the measure of target activity. ,"TOX21_p53_BLA_p1_ch2 was designed to measure cleaved reporter gene substrate to target transcription factor activity, specifically mapping to TP53 gene(s) using a positive control of Mitomycin C",single,background reporter,artifact detection,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_p53_BLA_p1,"TOX21_p53_BLA_p1 is a cell-based, single-readout assay that uses HCT116, a human intestinal cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,intestinal,cell line,NA,HCT116,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
652,1116,703,TOX21_p53_BLA_p1_ratio,1,1,"Data from the assay component TOX21_p53_BLA_p1_ratio was analyzed into 1 assay endpoint. This assay endpoint, TOX21_p53_BLA_p1_ratio, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity.  Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene TP53.  Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints and this ratio serves a reporter gene function to understand target activity.  To generalize the intended target to other relatable targets, this assay endpoint is annotated to the DNA binding intended target family, where the subfamily is tumor suppressor.",ratio,percent_activity,0,Mitomycin C;Nutlin3,gain,pathway,pathway-specified,dna binding,tumor suppressor,0,0,1,-1,-1,374,TOX21_p53_BLA_p1_ratio,TOX21_p53_BLA_p1_ratio is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the ratio of cleaved (ch2) to uncleaved (ch1) reporter gene substrate used as the measure of target activity.,"TOX21_p53_BLA_p1_ratio was designed to target transcription factor activity, specifically mapping to TP53 gene(s) using a positive control of Mitomycin C",multiple,inducible reporter,beta lactamase induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_p53_BLA_p1,"TOX21_p53_BLA_p1 is a cell-based, single-readout assay that uses HCT116, a human intestinal cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,intestinal,cell line,NA,HCT116,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
653,1117,704,TOX21_FXR_BLA_Agonist_ch1,1,1,"Data from the assay component TOX21_FXR_BLA_Agonist_ch1 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_FXR_BLA_Agonist_ch1, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene NR1H4. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves as artifact detection function.",substrate,percent_activity,0,Chenodeoxycholic acid,loss,pathway,pathway-specified,channel 1,baseline control,0,0,1,-1,-1,375,TOX21_FXR_BLA_Agonist_ch1,TOX21_FXR_BLA_Agonist_ch1 is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the uncleaved reporter gene substrate and is used to calculate the ratio of cleaved (ch2) to uncleaved (ch1) substrate used as the measure of target activity. ,"TOX21_FXR_BLA_Agonist_ch1 was designed to measure uncleaved reporter gene substrate to target nuclear receptor activity at the protein (receptor) level, specifically mapping to NR1H4 gene(s) using a positive control of Chenodeoxycholic acid",single,background reporter,artifact detection,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_FXR_BLA_Agonist,"TOX21_FXR_BLA_Agonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
654,1118,705,TOX21_FXR_BLA_Agonist_ch2,1,1,"Data from the assay component TOX21_FXR_BLA_Agonist_ch2 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_FXR_BLA_Agonist_ch2, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene NR1H4. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves as artifact detection function.",product,percent_activity,0,Chenodeoxycholic acid,gain,pathway,pathway-specified,channel 2,baseline control,0,0,1,-1,-1,375,TOX21_FXR_BLA_Agonist_ch2,TOX21_FXR_BLA_Agonist_ch2 is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the cleaved reporter gene substrate and is used to calculate the ratio of cleaved (ch2) to uncleaved (ch1) substrate used as the measure of target activity. ,"TOX21_FXR_BLA_Agonist_ch2 was designed to measure cleaved reporter gene substrate to target nuclear receptor activity at the protein (receptor) level, specifically mapping to NR1H4 gene(s) using a positive control of Chenodeoxycholic acid",single,background reporter,artifact detection,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_FXR_BLA_Agonist,"TOX21_FXR_BLA_Agonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
655,1119,706,TOX21_FXR_BLA_Agonist_ratio,1,1,"Data from the assay component TOX21_FXR_BLA_Agonist_ratio was analyzed into 1 assay endpoint. This assay endpoint, TOX21_FXR_BLA_Agonist_ratio, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, measures of receptor for gain-of-signal activity can be used to understand the reporter gene at the pathway-level as they relate to the gene NR1H4. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this ratio serves a reporter gene function to understand target activity.To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",ratio,percent_activity,0,Chenodeoxycholic acid,gain,pathway,pathway-specified,nuclear receptor,non-steroidal,0,0,1,-1,-1,375,TOX21_FXR_BLA_Agonist_ratio,TOX21_FXR_BLA_Agonist_ratio is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the ratio of cleaved (ch2) to uncleaved (ch1) reporter gene substrate used as the measure of target activity.,"TOX21_FXR_BLA_Agonist_ratio was designed to target nuclear receptor activity at the protein (receptor) level, specifically mapping to NR1H4 gene(s) using a positive control of Chenodeoxycholic acid",multiple,inducible reporter,beta lactamase induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_FXR_BLA_Agonist,"TOX21_FXR_BLA_Agonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
656,1120,707,TOX21_FXR_BLA_Antagonist_ratio,1,1,"Data from the assay component TOX21_FXR_BLA_Antagonist_ratio was analyzed into 1 assay endpoint.  This assay endpoint, TOX21_FXR_BLA_Antagonist_ratio, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, measures of receptor for gain-of-signal activity can be used to understand the reporter gene at the pathway-level as they relate to the gene NR1H4. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",ratio,percent_activity,0,Guggulsterone,loss,pathway,pathway-specified,nuclear receptor,non-steroidal,0,0,1,-1,-1,376,TOX21_FXR_BLA_Antagonist_ratio,TOX21_FXR_BLA_Antagonist_ratio is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the ratio of cleaved (ch2) to uncleaved (ch1) reporter gene substrate used as the measure of target activity.,"TOX21_FXR_BLA_Antagonist_ratio was designed to target nuclear receptor activity at the protein (receptor) level, specifically mapping to NR1H4 gene(s) using a positive control of Guggulsterone",multiple,inducible reporter,beta lactamase induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_FXR_BLA_Antagonist,"TOX21_FXR_BLA_Antagonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
657,1121,708,TOX21_FXR_BLA_Antagonist_viability,1,1,"TOX21_FXR_BLA_Antagonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity.",viability,percent_activity,1,tetraoctylammonium bromide,loss,cellular,cellular,cell cycle,cytotoxicity,0,1,1,-1,-1,376,TOX21_FXR_BLA_Antagonist_viability,TOX21_FXR_BLA_Antagonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,single,viability reporter,ATP content,cell proliferation,Luminescence,Bioluminescence,CellTiter-Glo Luciferase-coupled ATP quantitation,substrate,CellTiter-Glo,chemical,ATP,7,TOX21_FXR_BLA_Antagonist,"TOX21_FXR_BLA_Antagonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
658,1122,709,TOX21_PPARd_BLA_Agonist_ch1,1,1,"Data from the assay component TOX21_PPARd_BLA_Agonist_ch1 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_PPARd_BLA_Agonist_ch1, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene PPARD. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves as artifact detection function.",substrate,percent_activity,0,"L-165,041",loss,pathway,pathway-specified,channel 1,baseline control,0,0,1,-1,-1,377,TOX21_PPARd_BLA_Agonist_ch1,TOX21_PPARd_BLA_Agonist_ch1 is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the uncleaved reporter gene substrate and is used to calculate the ratio of cleaved (ch2) to uncleaved (ch1) substrate used as the measure of target activity. ,"TOX21_PPARD_BLA_Agonist_ch1 was designed to measure uncleaved reporter gene substrate to target nuclear receptor  activity at the protein (receptor) level, specifically mapping to PPARD gene(s) using a positive control of L-165,041",single,background reporter,artifact detection,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_PPARd_BLA_Agonist,"TOX21_PPARd_BLA_Agonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
659,1123,710,TOX21_PPARd_BLA_Agonist_ch2,1,1,"Data from the assay component TOX21_PPARd_BLA_Agonist_ch2 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_PPARd_BLA_Agonist_ch2, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, increased activity can be used to understand changes in the reporter gene as they relate to the gene PPARD. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves as artifact detection function.",product,percent_activity,0,"L-165,041",gain,pathway,pathway-specified,channel 2,baseline control,0,0,1,-1,-1,377,TOX21_PPARd_BLA_Agonist_ch2,TOX21_PPARd_BLA_Agonist_ch2 is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the cleaved reporter gene substrate and is used to calculate the ratio of cleaved (ch2) to uncleaved (ch1) substrate used as the measure of target activity. ,"TOX21_PPARD_BLA_Agonist_ch2 was designed to measure cleaved reporter gene substrate to target nuclear receptor  activity at the protein (receptor) level, specifically mapping to PPARD gene(s) using a positive control of L-165,041",single,background reporter,artifact detection,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_PPARd_BLA_Agonist,"TOX21_PPARd_BLA_Agonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
660,1124,711,TOX21_PPARd_BLA_Agonist_ratio,1,1,"Data from the assay component TOX21_PPARd_BLA_Agonist_ratio was analyzed into 1 assay endpoint. This assay endpoint, TOX21_PPARd_BLA_Agonist_ratio, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, gain-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene PPARD. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this ratio serves a reporter gene function to understand target activity. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",ratio,percent_activity,0,"L-165,041",gain,pathway,pathway-specified,nuclear receptor,non-steroidal,0,0,1,-1,-1,377,TOX21_PPARd_BLA_Agonist_ratio,TOX21_PPARd_BLA_Agonist_ratio is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the ratio of cleaved (ch2) to uncleaved (ch1) reporter gene substrate used as the measure of target activity.,"TOX21_PPARD_BLA_Agonist_ratio was designed to target nuclear receptor  activity at the protein (receptor) level, specifically mapping to PPARD gene(s) using a positive control of L-165,041",multiple,inducible reporter,beta lactamase induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_PPARd_BLA_Agonist,"TOX21_PPARd_BLA_Agonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
661,1125,712,TOX21_PPARd_BLA_Antagonist_ratio,1,1,"Data from the assay component TOX21_PPARd_BLA_Antagonist_ratio was analyzed into 1 assay endpoint. This assay endpoint, TOX21_PPARd_BLA_Antagonist_ratio, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene PPARD. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints and this ratio serves a reporter gene function to understand target activity. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",ratio,percent_activity,0,MK886,loss,pathway,pathway-specified,nuclear receptor,non-steroidal,0,0,1,-1,-1,378,TOX21_PPARd_BLA_Antagonist_ratio,TOX21_PPARd_BLA_Antagonist_ratio is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the ratio of cleaved (ch2) to uncleaved (ch1) reporter gene substrate used as the measure of target activity.,"TOX21_PPARD_BLA_Antagonist_ratio was designed to target nuclear receptor  activity at the protein (receptor) level, specifically mapping to PPARD gene(s) using a positive control of MK886",multiple,inducible reporter,beta lactamase induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_PPARd_BLA_Antagonist,"TOX21_PPARd_BLA_Antagonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
662,1126,713,TOX21_PPARd_BLA_Antagonist_viability,1,1,"TOX21_PPARd_BLA_Antagonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity.",viability,percent_activity,1,tetraoctylammonium bromide,loss,cellular,cellular,cell cycle,cytotoxicity,0,1,1,-1,-1,378,TOX21_PPARd_BLA_Antagonist_viability,TOX21_PPARd_BLA_Antagonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,single,viability reporter,ATP content,cell proliferation,Luminescence,Bioluminescence,CellTiter-Glo Luciferase-coupled ATP quantitation,substrate,CellTiter-Glo,chemical,ATP,7,TOX21_PPARd_BLA_Antagonist,"TOX21_PPARd_BLA_Antagonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
663,1127,714,TOX21_PPARg_BLA_Antagonist_ratio,1,1,"Data from the assay component TOX21_PPARg_BLA_Antagonist_ratio was analyzed into 1 assay endpoint. This assay endpoint, TOX21_PPARg_BLA_Antagonist_ratio, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene PPARG. Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints and this ratio serves a reporter gene function to understand target activity. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the nuclear receptor intended target family, where the subfamily is non-steroidal.",ratio,percent_activity,0,GW9662,loss,pathway,pathway-specified,nuclear receptor,non-steroidal,0,0,1,-1,-1,379,TOX21_PPARg_BLA_Antagonist_ratio,TOX21_PPARg_BLA_Antagonist_ratio is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the ratio of cleaved (ch2) to uncleaved (ch1) reporter gene substrate used as the measure of target activity.,"TOX21_PPARg_BLA_Antagonist_ratio was designed to target nuclear receptor  activity at the protein (receptor) level, specifically mapping to PPARG gene(s) using a positive control of GW9662",multiple,inducible reporter,beta lactamase induction,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_PPARg_BLA_Antagonist,"TOX21_PPARg_BLA_Antagonist is a cell-based, single-readout assay that uses HEK293, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
664,1128,715,TOX21_PPARg_BLA_Antagonist_viability,1,1,"TOX21_PPARg_BLA_Antagonist_viability used a type of viability reporter where loss-of-signal activity can be used to understand changes in the cell viability. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is cytotoxicity.",viability,percent_activity,1,tetraoctylammonium bromide,loss,cellular,cellular,cell cycle,cytotoxicity,0,1,1,-1,-1,379,TOX21_PPARg_BLA_Antagonist_viability,TOX21_PPARg_BLA_Antagonist_viability is an assay readout measuring cellular ATP content and detected with CellTiter-Glo Luciferase-coupled ATP quantitation.,Changes to bioluminescence signals produced from an enzymatic reaction catalyzed by luciferase between the key substrate [CellTiter-Glo] and the target cofactor [ATP] are correlated to the viability of the system.,single,viability reporter,ATP content,cell proliferation,Luminescence,Bioluminescence,CellTiter-Glo Luciferase-coupled ATP quantitation,substrate,CellTiter-Glo,chemical,ATP,7,TOX21_PPARg_BLA_Antagonist,"TOX21_PPARg_BLA_Antagonist is a cell-based, single-readout assay that uses HEK293, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
665,1129,716,TOX21_VDR_BLA_Agonist_ch1,1,1,"Data from the assay component TOX21_VDR_BLA_Agonist_ch1 was analyzed into 1 assay endpoint. This assay endpoint, TOX21_VDR_BLA_Agonist_ch1, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. Using a type of inducible reporter, loss-of-signal activity can be used to understand changes in the reporter gene as they relate to the gene CYP24A1. Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves as artifact detection function.",substrate,percent_activity,0,Calcitriol,loss,protein,receptor,channel 1,baseline control,0,0,1,-1,-1,380,TOX21_VDR_BLA_Agonist_ch1,TOX21_VDR_BLA_Agonist_ch1 is an assay readout measuring reporter gene via receptor activity and designed using inducible reporter (beta lactamase induction) detected with GAL4 b-lactamase reporter gene. The signal is derived from the uncleaved reporter gene substrate and is used to calculate the ratio of cleaved (ch2) to uncleaved (ch1) substrate used as the measure of target activity. ,"TOX21_VDR_BLA_Agonist_ch1 was designed to measure uncleaved reporter gene substrate to target nuclear receptor  activity at the protein (receptor) level, specifically mapping to NR1I1 gene(s) using a positive control of Calcitriol",single,background reporter,artifact detection,regulation of transcription factor activity,Fluorescence,Fluorescence intensity,GAL4 b-lactamase reporter gene,substrate,CCF4-AM,protein,receptor,7,TOX21_VDR_BLA_Agonist,"TOX21_VDR_BLA_Agonist is a cell-based, single-readout assay that uses HEK293T, a human kidney cell line, with measurements taken at 24 hours after chemical dosing in a 1536-well plate.",24.0,9606.0,human,kidney,cell line,NA,HEK293T,adherent,microplate: 1536-well plate,cell-based,cell-based format,single,DMSO,0.0
